Input 후보(실행),연결 Output(지표),Owner,OKR,Status
A25 웹스토어 심사 통과 후 등록 페이지 A/B,MAU,MKT,O2,대기
개발자 커뮤니티 3곳 게시 (얼리어답터),MAU,MKT,O2,대기
A26 온보딩 첫 저장까지 스텝 축소,첫 저장 완료율,FE,O2-KR1,대기
A29/A30 파일 임포트로 초기 저장량 부트스트랩,첫 저장 완료율,FE,O2-KR1,대기
7일차 리마인드 메일 / 재방문 트리거,7일 리텐션,PM,O2-KR2,대기
첫 검색 튜토리얼·예시 쿼리 노출,검색 사용률,FE,O3,대기
저장 20건 도달 유저에 검색 넛지,1인당 저장 건수,FE,O3-KR1,대기
NPS 인앱 설문 (저장 10건+ 유저),NPS,PM,O3-KR2,대기
A5 태깅 응답 p95 튜닝,저장→태그 응답시간,DEV,O1-KR2,대기
A25 Privacy Practices 보완·재심사,웹스토어 심사 통과,PM,O1-KR1,대기
A64 프리미엄 대시보드 착수 (선행지표 근접 시),프리미엄 전환율(신규),PM,수익화,보류
